Klucz Geograficzny,Miasto,Kod Prowincji,Nazwa Prowincji,Kod Regionu,Kraj,Kod Pocztowy
1.0,Alexandria,NSW,New South Wales,AU,Australia,2015
2.0,Coffs Harbour,NSW,New South Wales,AU,Australia,2450
3.0,Darlinghurst,NSW,New South Wales,AU,Australia,2010
4.0,Goulburn,NSW,New South Wales,AU,Australia,2580
5.0,Lane Cove,NSW,New South Wales,AU,Australia,1597
6.0,Lavender Bay,NSW,New South Wales,AU,Australia,2060
7.0,Malabar,NSW,New South Wales,AU,Australia,2036
8.0,Matraville,NSW,New South Wales,AU,Australia,2036
9.0,Milsons Point,NSW,New South Wales,AU,Australia,2061
10.0,Newcastle,NSW,New South Wales,AU,Australia,2300
11.0,North Ryde,NSW,New South Wales,AU,Australia,2113
12.0,North Sydney,NSW,New South Wales,AU,Australia,2055
13.0,Port Macquarie,NSW,New South Wales,AU,Australia,2444
14.0,Rhodes,NSW,New South Wales,AU,Australia,2138
15.0,Silverwater,NSW,New South Wales,AU,Australia,2264
16.0,Springwood,NSW,New South Wales,AU,Australia,2777
17.0,St. Leonards,NSW,New South Wales,AU,Australia,2065
18.0,Sydney,NSW,New South Wales,AU,Australia,1002
19.0,Wollongong,NSW,New South Wales,AU,Australia,2500
20.0,Brisbane,QLD,Queensland,AU,Australia,4000
21.0,Caloundra,QLD,Queensland,AU,Australia,4551
22.0,East Brisbane,QLD,Queensland,AU,Australia,4169
23.0,Gold Coast,QLD,Queensland,AU,Australia,4217
24.0,Hawthorne,QLD,Queensland,AU,Australia,4171
25.0,Hervey Bay,QLD,Queensland,AU,Australia,4655
26.0,Rockhampton,QLD,Queensland,AU,Australia,4700
27.0,Townsville,QLD,Queensland,AU,Australia,4810
28.0,Cloverdale,SA,South Australia,AU,Australia,6105
29.0,Findon,SA,South Australia,AU,Australia,5023
30.0,Perth,SA,South Australia,AU,Australia,6006
31.0,Hobart,TAS,Tasmania,AU,Australia,7001
32.0,Bendigo,VIC,Victoria,AU,Australia,3550
